date,url,label,tags,temperature,cluster
2018-01-01,//image.musinsa.com/mfile_s01/_street_images/39900/280.street_img_view25a5c877212c54.jpg?,0,"['미디스커트', '하의', '체크']",-1.3,5
2018-01-03,//image.musinsa.com/mfile_s01/_street_images/45393/280.street_img_view15b441fc292a09.jpg?20180709141156,4,"['스커트', '베이지', '하의', '베이지색', '심플', '캐주얼']",-4.7,0
2018-01-04,//image.musinsa.com/mfile_s01/_street_images/40064/280.street_img_view25a587946cf62c.jpg?20180117093309,0,"['트랙팬츠', '하의', '파랑색', '스트리트', '힙합']",-4.7,0
2018-01-04,//image.musinsa.com/mfile_s01/_street_images/45459/280.street_img_view15b46a8b7bca45.jpg?,4,"['데님', '쇼츠', '하의', '데님', '심플', '캐주얼']",-4.7,0
2018-01-04,//image.musinsa.com/mfile_s01/_street_images/49213/280.street_img_view25c1af11c0c02b.jpg?,4,"['데님스커트', '하의', '데님', '심플', '캐주얼']",-4.7,0
2018-01-04,//image.musinsa.com/mfile_s01/_street_images/40972/280.street_img_view25a83a146e0ddc.jpg?,0,"['팬츠', '블랙', '하의', '검정색', '스트리트', '힙합']",-4.7,0
2018-01-06,//image.musinsa.com/mfile_s01/_street_images/39815/280.street_img_view25a434162a398f.jpg?20180111191150,0,"['스커트', '레드', '하의', '빨간색', '유니크', '키치']",-2.8,0
2018-01-08,//image.musinsa.com/mfile_s01/_street_images/44652/280.street_img_view25b0ce27cd5698.jpg?,0,"['슬랙스', '블랙', '하의', '검정색', '스트리트', '힙합']",1.3,5
2018-01-08,//image.musinsa.com/mfile_s01/_street_images/44690/280.street_img_view25b2881770bbe4.jpg?20180619180259,4,"['슬랙스', '하의', '검정색', '심플', '캐주얼']",1.3,5
2018-01-09,//image.musinsa.com/mfile_s01/_street_images/40448/280.street_img_view25a699d808a91d.jpg?,0,"['데님스커트', '하의', '데님', '스트리트', '힙합']",-4.2,0
2018-01-09,//image.musinsa.com/mfile_s01/_street_images/45717/280.street_img_view25b58486119026.jpg?20180726111433,0,"['미디스커트', '하의', '도트', '섹시', '페미닌']",-4.2,0
2018-01-12,//image.musinsa.com/mfile_s01/_street_images/45988/280.street_img_view25b6973fbeb49d.jpg?,4,"['스커트', '블랙', '하의', '검정색', '심플', '캐주얼']",-10.2,9
2018-01-16,//image.musinsa.com/mfile_s01/_street_images/44338/280.street_img_view25b025e502f055.jpg?,0,"['와이드팬츠', '오렌지', '하의', '주황색', '스트리트', '힙합']",3.5,2
2018-01-16,//image.musinsa.com/mfile_s01/_street_images/41546/280.street_img_view15aa109837ba65.jpg?,2,"['팬츠', '화이트', '하의', '흰색', '심플', '캐주얼']",3.5,2
2018-01-17,//image.musinsa.com/mfile_s01/_street_images/48170/280.street_img_view25bebe728cb7c4.jpg?20181115135805,1,"['치노팬츠', '하의', '베이지색', '심플', '캐주얼']",4.5,2
2018-01-18,//image.musinsa.com/mfile_s01/_street_images/46563/280.street_img_view25b88aa6fd586b.jpg?20180831115510,0,"['벨루어 플리스 팬츠', '뉴에라', '하의', '빨간색', '스트리트', '힙합']",2.1,5
2018-01-18,//image.musinsa.com/mfile_s01/_street_images/45639/280.street_img_view25b501d3c87a7d.jpg?20180719174242,0,"['데님팬츠', 'DENIM', 'PANTS', '하의']",2.1,5
2018-01-18,//image.musinsa.com/mfile_s01/_street_images/49137/280.street_img_view25c19ac9737d55.jpg?20181219113125,4,"['데님팬츠', '하의', '데님', '분홍색', '심플', '캐주얼']",2.1,5
2018-01-19,//image.musinsa.com/mfile_s01/_street_images/47382/280.street_img_view15bbf1e5590710.jpg?20181011092946,4,"['원피스', '핑크', '하의', '분홍색']",1.0,5
2018-01-19,//image.musinsa.com/mfile_s01/_street_images/39744/280.street_img_view25a53367e011f1.jpg?20171226092514,0,"['데님팬츠', '블랙', '하의', '데님', '스트리트', '힙합']",1.0,5
2018-01-22,//image.musinsa.com/mfile_s01/_street_images/45649/280.street_img_view25b55411128c2d.jpg?,4,"['쇼츠', '하의', '검정색', '스프라이트', '심플', '캐주얼']",0.2,5
2018-01-22,//image.musinsa.com/mfile_s01/_street_images/45622/280.street_img_view25b5025c93056b.jpg?20180719171550,0,"['워크', '팬츠', '하의', '녹색', '섹시', '페미닌']",0.2,5
2018-01-31,//image.musinsa.com/mfile_s01/_street_images/39732/280.street_img_view25a5339e859f01.jpg?,0,"['팬츠', '체크', '하의', '체크', '스트리트', '힙합']",-2.6,0
2018-02-05,//image.musinsa.com/mfile_s01/_street_images/40876/280.street_img_view15a7849106f12c.jpg?20180205213457,0,"['스커트', '본챔스', '하의', '데님', '스트리트', '힙합']",-9.4,9
2018-02-07,//image.musinsa.com/mfile_s01/_street_images/45531/280.street_img_view25b4d6d2260f01.jpg?,4,"['오버롤', '데님', '하의', '데님', '심플', '캐주얼']",-8.0,9
2018-02-07,//image.musinsa.com/mfile_s01/_street_images/40921/280.street_img_view25a8161dd1d7e2.jpg?,4,"['코듀로이', '팬츠', '하의', '흰색', '심플', '캐주얼']",-8.0,9
2018-02-12,//image.musinsa.com/mfile_s01/_street_images/46449/280.street_img_view25b8cd33574a51.jpg?,0,"['스커트', '하의', '스프라이트']",-5.8,0
2018-02-17,//image.musinsa.com/mfile_s01/_street_images/45370/280.street_img_view25b3dba14f0f83.jpg?,4,"['청바지', '블루', '하의', '데님', '심플', '캐주얼']",-3.0,0
2018-02-18,//image.musinsa.com/mfile_s01/_street_images/48585/280.street_img_view25bf25d6e3bbd3.jpg?,0,"['팬츠', '블랙', '하의', '검정색', '스트리트', '힙합']",-0.4,5
2018-02-18,//image.musinsa.com/mfile_s01/_street_images/48875/280.street_img_view15c089d48d736b.jpg?,4,"['데님팬츠', '하의', '데님', '심플', '캐주얼']",-0.4,5
2018-02-18,//image.musinsa.com/mfile_s01/_street_images/44676/280.street_img_view15b28823795f14.jpg?20180619172546,0,"['미니스커트', '하의', '애니멀', '섹시', '페미닌']",-0.4,5
2018-02-20,//image.musinsa.com/mfile_s01/_street_images/44935/280.street_img_view25b1e38b60504c.jpg?20180611185709,0,"['데님팬츠', '블루', '하의', '데님', '섹시', '페미닌']",0.9,5
2018-02-22,//image.musinsa.com/mfile_s01/_street_images/40512/280.street_img_view25a6adb6844a37.jpg?20180126172923,0,"['조거팬츠', '하의', '검정색', '스트리트', '힙합']",1.3,5
2018-02-22,//image.musinsa.com/mfile_s01/_street_images/48253/280.street_img_view25bf64c55750b5.jpg?20181122171943,0,"['카고팬츠', '하의', '기타패턴', '유니크', '키치']",1.3,5
2018-02-22,//image.musinsa.com/mfile_s01/_street_images/41322/280.street_img_view25a968f810b3b7.jpg?,4,"['팬츠', '체크', '하의', '체크', '포멀', '클래식']",1.3,5
2018-03-04,//image.musinsa.com/mfile_s01/_street_images/42700/280.street_img_view25ab8a729eb88e.jpg?20180326200233,0,"['머메이드', '스커트', '하의', '노란색']",9.8,8
2018-03-05,//image.musinsa.com/mfile_s01/_street_images/46927/280.street_img_view25bc3e048363d8.jpg?,0,"['널디', '팬츠', '하의', '파랑색', '스트리트', '힙합']",5.5,2
2018-03-06,//image.musinsa.com/mfile_s01/_street_images/46388/280.street_img_view15b8666f2bb874.jpg?20180822115014,0,"['스커트', '카무플라주', '하의', '카모', '스트리트', '힙합']",4.5,2
2018-03-07,//image.musinsa.com/mfile_s01/_street_images/48890/280.street_img_view25c0731ed6a150.jpg?,1,"['코듀로이팬츠', '브라운', '하의', '갈색', '심플', '캐주얼']",6.4,2
2018-03-09,//image.musinsa.com/mfile_s01/_street_images/41632/280.street_img_view15aa62a615caea.jpg?,0,"['트랙팬츠', '그레이', '하의', '회색', '스트리트', '힙합']",4.5,2
2018-03-13,//image.musinsa.com/mfile_s01/_street_images/47885/280.street_img_view25bea345256288.jpg?20181113175904,4,"['데님팬츠', '하의', '데님', '심플', '캐주얼']",12.4,4
2018-03-19,//image.musinsa.com/mfile_s01/_street_images/44670/280.street_img_view15b0ce14d61002.jpg?,0,"['와이드팬츠', '블랙', '하의', '검정색', '스트리트', '힙합']",8.0,8
2018-03-20,//image.musinsa.com/mfile_s01/_street_images/46051/280.street_img_view25b72b37b7caa3.jpg?20180814225509,2,"['화이트', 'SNEAKER', '하의', '흰색', '심플', '캐주얼']",4.7,2
2018-03-20,//image.musinsa.com/mfile_s01/_street_images/49320/280.street_img_view25c204a35652d3.jpg?20181224102806,0,"['데님팬츠', '하의', '데님', '유니크', '키치']",4.7,2
2018-03-21,//image.musinsa.com/mfile_s01/_street_images/45612/280.street_img_view25b4f01c64813c.jpg?,0,"['트레이닝팬츠', '블랙', '하의', '검정색', '스트리트', '힙합']",2.1,5
2018-03-23,//image.musinsa.com/mfile_s01/_street_images/47285/280.street_img_view15bb7399479f5b.jpg?20181005194230,0,"['스탠다드 스웨트 팬츠', '멜란지마스터', '하의', '파랑색']",6.1,2
2018-03-24,//image.musinsa.com/mfile_s01/_street_images/45452/280.street_img_view25b45c6882627f.jpg?20180711104043,4,"['팬츠', '브라운', '하의', '갈색', '스트리트', '힙합']",7.6,8
2018-03-24,//image.musinsa.com/mfile_s01/_street_images/42537/280.street_img_view25ac350ce87513.jpg?20180411182403,0,"['이에스씨 스튜디오', 'pants', '하의', '보라색', '스트리트', '힙합']",7.6,8
2018-03-25,//image.musinsa.com/mfile_s01/_street_images/47096/280.street_img_view25bc45565dc822.jpg?20180926201052,0,"['와이드', '부츠컷', '팬츠', '하의', '섹시', '페미닌']",9.6,8
2018-03-26,//image.musinsa.com/mfile_s01/_street_images/40981/280.street_img_view25a83b74e16b38.jpg?20180209020006,0,"['스커트', '브라운', '하의', '갈색', '스트리트', '힙합']",11.0,8
2018-03-26,//image.musinsa.com/mfile_s01/_street_images/45245/280.street_img_view25b32020e48b89.jpg?,4,"['디스트로이드진', '데님', '하의', '데님', '심플', '캐주얼']",11.0,8
2018-03-26,//image.musinsa.com/mfile_s01/_street_images/39802/280.street_img_view25a558c1ea7b56.jpg?,4,"['코듀로이', '팬츠', '하의', '갈색', '심플', '캐주얼']",11.0,8
2018-03-29,//image.musinsa.com/mfile_s01/_street_images/45792/280.street_img_view25b60276e0a35e.jpg?,0,"['팬츠', '블랙', '하의', '검정색', '스트리트', '힙합']",15.4,4
2018-03-29,//image.musinsa.com/mfile_s01/_street_images/44517/280.street_img_view25b0fa14b4a4d1.jpg?20180525185925,0,"['멜란지마스터', '하의', '보라색', '스트리트', '힙합']",15.4,4
2018-03-30,//image.musinsa.com/mfile_s01/_street_images/44643/280.street_img_view25b0ce3bba271f.jpg?,0,"['데님팬츠', '하의', '데님', '섹시', '페미닌']",14.8,4
2018-04-01,//image.musinsa.com/mfile_s01/_street_images/45467/280.street_img_view25b46a6c7cdb63.jpg?,0,"['카고팬츠', '하의', '주황색', '스트리트', '힙합']",15.6,4
2018-04-02,//image.musinsa.com/mfile_s01/_street_images/42925/280.street_img_view25ae0402456a7b.jpg?,0,"['카고팬츠', '하의', '검정색', '스트리트', '힙합']",18.4,7
2018-04-05,//image.musinsa.com/mfile_s01/_street_images/44378/280.street_img_view25b025ecbe935e.jpg?,0,"['카고팬츠', '카모', '하의', '카모', '스트리트', '힙합']",7.6,8
2018-04-05,//image.musinsa.com/mfile_s01/_street_images/40533/280.street_img_view25a6acef82ed4a.jpg?,0,"['미디스커트', '하의', '체크']",7.6,8
2018-04-05,//image.musinsa.com/mfile_s01/_street_images/40058/280.street_img_view25a587a2968dfd.jpg?,0,"['스커트', '레드', '하의', '빨간색']",7.6,8
2018-04-05,//image.musinsa.com/mfile_s01/_street_images/43712/280.street_img_view25ae15595a998e.jpg?,4,"['슬랙스', '네이비', '하의', '파랑색', '심플', '캐주얼']",7.6,8
2018-04-08,//image.musinsa.com/mfile_s01/_street_images/45432/280.street_img_view15b45c96f2ad2a.jpg?,3,"['조거팬츠', '화이트', '하의', '흰색', '스트리트', '힙합']",3.9,2
2018-04-09,//image.musinsa.com/mfile_s01/_street_images/46386/280.street_img_view25b864cffa7f30.jpg?20180822114958,0,"['스커트', '핑크', '하의', '분홍색', '섹시', '페미닌']",7.9,8
2018-04-09,//image.musinsa.com/mfile_s01/_street_images/44776/280.street_img_view25b150535df03d.jpg?20180604190147,4,"['유니폼브릿지', '하의', '데님', '심플', '캐주얼']",7.9,8
2018-04-10,//image.musinsa.com/mfile_s01/_street_images/40386/280.street_img_view25a68212e094dd.jpg?,0,"['팬츠', '카모', '하의', '카모', '스트리트', '힙합']",15.1,4
2018-04-12,//image.musinsa.com/mfile_s01/_street_images/46057/280.street_img_view25b6ab51725fb4.jpg?,0,"['쇼츠', '블랙', '하의', '검정색', '스트리트', '힙합']",13.3,4
2018-04-12,//image.musinsa.com/mfile_s01/_street_images/45512/280.street_img_view15b4c52f801aca.jpg?,4,"['배기팬츠', '하의', '검정색', '심플', '캐주얼']",13.3,4
2018-04-19,//image.musinsa.com/mfile_s01/_street_images/44512/280.street_img_view25b0fa34f2d849.jpg?20180525190245,0,"['멜란지마스터', '하의', '분홍색', '스트리트', '힙합']",14.0,4
2018-04-20,//image.musinsa.com/mfile_s01/_street_images/43568/280.street_img_view25af5742645d54.jpg?,0,"['체크', '팬츠', '하의', '체크', '스트리트', '힙합']",18.4,7
2018-04-25,//image.musinsa.com/mfile_s01/_street_images/45430/280.street_img_view25b45c9e3bb304.jpg?,4,"['데님팬츠', '하의', '데님', '심플', '캐주얼']",14.6,4
2018-04-25,//image.musinsa.com/mfile_s01/_street_images/45590/280.street_img_view25b4e8c070968c.jpg?,4,"['청바지', '블루', '하의', '데님', '심플', '캐주얼']",14.6,4
2018-04-26,//image.musinsa.com/mfile_s01/_street_images/46083/280.street_img_view25b6aa7304f8af.jpg?,4,"['스커트', '아이보리', '하의', '베이지색']",14.9,4
2018-04-27,//image.musinsa.com/mfile_s01/_street_images/43794/280.street_img_view25ae2f1a77fa33.jpg?,0,"['팬츠', '베이지', '하의', '베이지색', '스트리트', '힙합']",15.7,4
2018-05-01,//image.musinsa.com/mfile_s01/_street_images/48133/280.street_img_view25bebeb5ea5248.jpg?20181115115927,4,"['디스진', '데님팬츠', '하의', '데님', '심플', '캐주얼']",20.4,7
2018-05-01,//image.musinsa.com/mfile_s01/_street_images/49242/280.street_img_view25c232f1d568ff.jpg?20181226181500,4,"['데님팬츠', '하의', '데님', '심플', '캐주얼']",20.4,7
2018-05-01,//image.musinsa.com/mfile_s01/_street_images/48930/280.street_img_view25c072faba0102.jpg?20181205001343,4,"['팬츠', ' 체크', '하의', '체크', '심플', '캐주얼']",20.4,7
2018-05-02,//image.musinsa.com/mfile_s01/_street_images/46848/280.street_img_view25b9f1803b7fc0.jpg?,4,"['블랙', '와이드팬츠', '하의', '심플', '캐주얼']",15.1,4
2018-05-02,//image.musinsa.com/mfile_s01/_street_images/42740/280.street_img_view25ab8ac3431d81.jpg?20180326172632,4,"['와이드팬츠', '하의', '검정색', '심플', '캐주얼']",15.1,4
2018-05-03,//image.musinsa.com/mfile_s01/_street_images/43946/280.street_img_view25aeaf31f4427a.jpg?,4,"['슬랙스', '블랙', '하의', '검정색', '심플', '캐주얼']",11.2,8
2018-05-07,//image.musinsa.com/mfile_s01/_street_images/47127/280.street_img_view25bac98287f6d9.jpg?,0,"['팬츠', '그레이', '하의', '회색', '스트리트', '힙합']",19.2,7
2018-05-07,//image.musinsa.com/mfile_s01/_street_images/44701/280.street_img_view25b0cdf6ea6e80.jpg?20180529105142,1,"['팬츠', '베이지', '하의', '베이지색', '심플', '캐주얼']",19.2,7
2018-05-08,//image.musinsa.com/mfile_s01/_street_images/45754/280.street_img_view15b5ec266eb781.jpg?,4,"['데님쇼츠', '하의', '데님', '심플', '캐주얼']",17.5,7
2018-05-10,//image.musinsa.com/mfile_s01/_street_images/39978/280.street_img_view25a4c46bf9d514.jpg?,0,"['트랙팬츠', '레드', '하의', '빨간색', '스트리트', '힙합']",15.4,4
2018-05-11,//image.musinsa.com/mfile_s01/_street_images/44149/280.street_img_view25afc0640ca0a0.jpg?,0,"['데님', '쇼츠', '하의', '데님', '섹시', '페미닌']",16.1,4
2018-05-14,//image.musinsa.com/mfile_s01/_street_images/48539/280.street_img_view25bf4f94f2d79c.jpg?20181114225340,4,"['팬츠', ' 베이지', '하의', '베이지색', '심플', '캐주얼']",18.2,7
2018-05-15,//image.musinsa.com/mfile_s01/_street_images/42795/280.street_img_view25abcbfed0f027.jpg?,4,"['스커트', '블루', '하의', '파랑색', '심플', '캐주얼']",23.2,1
2018-05-15,//image.musinsa.com/mfile_s01/_street_images/44343/280.street_img_view15b024f5e20979.jpg?,0,"['데님스커트', '블루', '하의', '데님']",23.2,1
2018-05-15,//image.musinsa.com/mfile_s01/_street_images/43373/280.street_img_view15ad0764c05e48.jpg?20180418175433,0,"['반바지', '어텐션로우', '하의', '데님', '섹시', '페미닌']",23.2,1
2018-05-15,//image.musinsa.com/mfile_s01/_street_images/40445/280.street_img_view25a699f4e69952.jpg?,4,"['스커트', '체크', '하의', '체크']",23.2,1
2018-05-16,//image.musinsa.com/mfile_s01/_street_images/44631/280.street_img_view25b288ba681db3.jpg?20180619154713,0,"['데님', '쇼츠', '하의', '데님', '섹시', '페미닌']",22.3,1
2018-05-16,//image.musinsa.com/mfile_s01/_street_images/46699/280.street_img_view25b98dfcfcc5eb.jpg?,4,"['오버롤', '팬츠', '하의', '베이지색', '심플', '캐주얼']",22.3,1
2018-05-18,//image.musinsa.com/mfile_s01/_street_images/48061/280.street_img_view15bcedeb597203.jpg?20181023183432,4,"['원피스', '레오파드', '심플', '하의']",16.3,4
2018-05-18,//image.musinsa.com/mfile_s01/_street_images/44673/280.street_img_view15b0ce108efa58.jpg?,0,"['쇼츠', '그린', '하의', '녹색', '스트리트', '힙합']",16.3,4
2018-05-21,//image.musinsa.com/mfile_s01/_street_images/44368/280.street_img_view25b0233829c804.jpg?,4,"['데님팬츠', '블루', '하의', '데님', '심플', '캐주얼']",17.8,7
2018-05-22,//image.musinsa.com/mfile_s01/_street_images/45456/280.street_img_view15b46ae4103fb9.jpg?20180712143234,0,"['데님팬츠', 'denim', 'pants', '하의']",18.1,7
2018-05-22,//image.musinsa.com/mfile_s01/_street_images/44437/280.street_img_view15b04eeb0238dc.jpg?,0,"['하이웨스트', '블랙', '하의', '검정색', '섹시', '페미닌']",18.1,7
2018-05-22,//image.musinsa.com/mfile_s01/_street_images/42629/280.street_img_view15abb69af6ba60.jpg?20180328205258,0,"['와이드팬츠', '레드', '하의', '빨간색', '스트리트', '힙합']",18.1,7
2018-05-23,//image.musinsa.com/mfile_s01/_street_images/45446/280.street_img_view15b45c74cca6ad.jpg?,3,"['반바지', '화이트', '하의', '흰색', '유니크', '키치']",17.3,7
2018-05-23,//image.musinsa.com/mfile_s01/_street_images/44457/280.street_img_view25b04ed2a1e10d.jpg?,0,"['조거팬츠', '블랙', '하의', '검정색', '섹시', '페미닌']",17.3,7
2018-05-25,//image.musinsa.com/mfile_s01/_street_images/48092/280.street_img_view25bcd716d4a1d0.jpg?20181022160704,4,"['데님팬츠', '블루', '하의', '데님', '심플', '캐주얼']",19.7,7
2018-05-25,//image.musinsa.com/mfile_s01/_street_images/47124/280.street_img_view25bac98e1f0690.jpg?,0,"['조거팬츠', '블랙', '하의', '검정색', '스트리트', '힙합']",19.7,7
2018-05-25,//image.musinsa.com/mfile_s01/_street_images/47166/280.street_img_view25bb3622b5eee0.jpg?,4,"['팬츠', '블랙', '하의', '검정색', '심플', '캐주얼']",19.7,7
